"source","action","data_class","target","git_tracked","bytes","reason"
".agents/skills/prompt-engineer/SKILL.md","adapter","internal","runtime/adapters/","no","2505","Platform-specific config or skill source"
".claude/agents/chief-of-staff-business.md","consolidate","internal","agents/roles/","yes","5697","Legacy role source; rewrite provider-neutrally"
".claude/agents/chief-of-staff-personal.md","consolidate","internal","agents/roles/","no","7459","Legacy role source; rewrite provider-neutrally"
".claude/agents/cmo.md","consolidate","internal","agents/roles/","yes","11722","Legacy role source; rewrite provider-neutrally"
".claude/agents/content-producer.md","consolidate","internal","agents/roles/","no","16562","Legacy role source; rewrite provider-neutrally"
".claude/agents/cto.md","consolidate","internal","agents/roles/","yes","6008","Legacy role source; rewrite provider-neutrally"
".claude/agents/customer-experience.md","consolidate","internal","agents/roles/","no","8866","Legacy role source; rewrite provider-neutrally"
".claude/agents/designer.md","consolidate","internal","agents/roles/","no","10977","Legacy role source; rewrite provider-neutrally"
".claude/agents/harness-orchestrator.md","consolidate","internal","agents/roles/","no","4544","Legacy role source; rewrite provider-neutrally"
".claude/agents/sales-specialist.md","consolidate","internal","agents/roles/","no","9768","Legacy role source; rewrite provider-neutrally"
".claude/agents/scout.md","consolidate","internal","agents/roles/","no","10634","Legacy role source; rewrite provider-neutrally"
".claude/agents/security-officer.md","consolidate","internal","agents/roles/","no","2070","Legacy role source; rewrite provider-neutrally"
".claude/agents/side-hustler.md","consolidate","internal","agents/roles/","no","11100","Legacy role source; rewrite provider-neutrally"
".claude/agents/trader-simulator.md","consolidate","internal","agents/roles/","no","8058","Legacy role source; rewrite provider-neutrally"
".claude/agents/traders-hub-engineer.md","consolidate","internal","agents/roles/","yes","14653","Legacy role source; rewrite provider-neutrally"
".claude/rules/communication-style.md","consolidate","internal","governance/","yes","676","Legacy governance source"
".claude/rules/constitution.md","consolidate","internal","governance/","yes","13475","Legacy governance source"
".claude/settings.json","adapter","internal","runtime/adapters/","yes","2","Platform-specific config or skill source"
".claude/skills/prompt-engineer/SKILL.md","adapter","internal","runtime/adapters/","yes","2523","Platform-specific config or skill source"
".codex/agents/chief-of-staff-business.toml","adapter","internal","runtime/adapters/codex/","no","3655","Regenerate from canonical role definition"
".codex/agents/chief-of-staff-personal.toml","adapter","internal","runtime/adapters/codex/","no","7256","Regenerate from canonical role definition"
".codex/agents/cmo.toml","adapter","internal","runtime/adapters/codex/","no","8955","Regenerate from canonical role definition"
".codex/agents/content-producer.toml","adapter","internal","runtime/adapters/codex/","no","14439","Regenerate from canonical role definition"
".codex/agents/cto.toml","adapter","internal","runtime/adapters/codex/","no","5799","Regenerate from canonical role definition"
".codex/agents/customer-experience.toml","adapter","internal","runtime/adapters/codex/","no","7180","Regenerate from canonical role definition"
".codex/agents/designer.toml","adapter","internal","runtime/adapters/codex/","no","7996","Regenerate from canonical role definition"
".codex/agents/sales-specialist.toml","adapter","internal","runtime/adapters/codex/","no","8330","Regenerate from canonical role definition"
".codex/agents/scout.toml","adapter","internal","runtime/adapters/codex/","no","8770","Regenerate from canonical role definition"
".codex/agents/trader-simulator.toml","adapter","internal","runtime/adapters/codex/","no","1453","Regenerate from canonical role definition"
".codex/agents/traders-hub-engineer.toml","adapter","internal","runtime/adapters/codex/","no","12200","Regenerate from canonical role definition"
".DS_Store","delete-review","restricted","","no","8196","OS metadata or temporary lock file"
".gitignore","keep-legacy","public",".gitignore","yes","150","Legacy repository hygiene; v2 has its own policy"
"AGENTS.md","consolidate","internal","AGENTS.md","no","5339","Overlapping entrypoint, roster, or platform guidance"
"archives/.gitkeep","archive","internal","archive/","yes","0","Historical material"
"CLAUDE.local.md","private","private","","no","140","Local-only instructions"
"CLAUDE.md","consolidate","internal","agents/","yes","4729","Overlapping entrypoint, roster, or platform guidance"
"decisions/log.md","migrate","internal","operations/decisions/","yes","2434","Canonical decision history"
"exports/.DS_Store","delete-review","restricted","","no","8196","OS metadata or temporary lock file"
"exports/traders-hub-videos/2026-06-05-discipline-plan-v1.mp4","generated","internal","external-artifact-storage/","no","2206897","Published/deliverable artifact, not canonical knowledge"
"exports/traders-hub-videos/daily-workflow-beta-draft-v1.mp4","generated","internal","external-artifact-storage/","no","1684583","Published/deliverable artifact, not canonical knowledge"
"exports/traders-hub-videos/daily-workflow-beta-draft-v2-fullframe.mp4","generated","internal","external-artifact-storage/","no","1153205","Published/deliverable artifact, not canonical knowledge"
"finance/~$systems-hub-finance-2026.xlsx","delete-review","restricted","","no","165","OS metadata or temporary lock file"
"finance/systems-hub-finance-2026.xlsx","private","private","restricted-finance-store/","no","127793","Raw accounting data requires separate access control"
"projects/product-polish-beta-launch/README.md","consolidate","internal","projects/","yes","301","Legacy project stub; reconcile with project registry and manifest"
"projects/social-media-management/README.md","consolidate","internal","projects/","yes","420","Legacy project stub; reconcile with project registry and manifest"
"projects/trading-assistant/README.md","consolidate","internal","projects/","yes","324","Legacy project stub; reconcile with project registry and manifest"
"projects/trading-edge-refinement/README.md","consolidate","internal","projects/","yes","313","Legacy project stub; reconcile with project registry and manifest"
"references/examples/.gitkeep","migrate","internal","knowledge/references/","yes","0","Reusable reference material"
"references/sops/.gitkeep","migrate","internal","knowledge/references/","yes","0","Reusable reference material"
"TEAM.md","consolidate","internal","agents/","no","14850","Overlapping entrypoint, roster, or platform guidance"
"templates/session-summary.md","migrate","internal","knowledge/shared/templates/","yes","173","Reusable template"
"tmp/livestreams/2026-06-05-kewE1JUDc-Q/audio.m4a","generated","restricted","","no","100905319","Temporary media or processing output"
